Dealership,Address,Phone,Year,Make Model,Vehicle Odometer,Vehicle VIN,Amount,Bid Type,Auction Date
,,,2012,CHEVROLET COLORADO 4X2 RG LT W/1SA,25157,1GCCSBF94C8160834,"$10,900 ",ONLINE,12/29/2015 7:58:09 PM
5 GRAND AUTOLAND,"515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899
,,,2009,FORD FOCUS SEL,50312,1FAHP37N79W266097,"$6,250 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,HONDA CIVIC SI,41613,2HGFG4A50CH706541,"$13,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,TOYOTA YARIS LE,87337,JTDKTUD3XDD544256,"$6,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,"$10,700 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,NISSAN VERSA S,61870,3N1BC1CP1CK809439,"$5,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,DODGE GRAND CARAVAN SE,97733,2C4RDGBG9CR264908,"$7,800 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD FIESTA FWD SE,91776,3FADP4BJXBM148933,"$4,900 ",ONLINE,12/29/2015 7:58:09 PM
PASO ROBLES FORD LINCOLN MERCURY,"2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673
,,,2009,FORD FOCUS SEL,50312,1FAHP37N79W266097,"$6,750 ",ONLINE,12/29/2015 7:58:09 PM
UNITED VEHICLES IMPORT,"325 Saratoga Ave San Jose, CA 95129",(888) 378-5558
,,,2013,FORD TAURUS FWD V6 SEL,70117,1FAHP2E81DG105724,"$11,000 ",ONLINE,12/29/2015 7:58:09 PM
STUNNING AUTO,"2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447
,,,2013,FORD TAURUS FWD V6 SEL,70117,1FAHP2E81DG105724,"$11,250 ",ONLINE,12/29/2015 7:58:09 PM
MARK KIA,"1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300
,,,2013,FORD EXPLORER FWD V6 BASE,19741,1FMK7B80DGC83164,"$20,000 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,CADILLAC CTS 4X2 V6 LUXURY,36325,1G6DE5E58D0113966,"$16,750 ",SOLD,12/29/2015 7:58:09 PM
CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
,,,2013,FORD EXPLORER FWD V6 BASE,19741,1FMK7B80DGC83164,"$20,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2015,DODGE DART SXT,11425,1C3CDFBB2FD351663,"$11,750 ",IFSALE,12/29/2015 7:58:09 PM
,,,2014,CHEVROLET CAMARO V6 LT,29528,2G1FC1E31E9183375,"$20,500 ",IFSALE,12/29/2015 7:58:09 PM
,,,2012,GMC ACADIA AWD SLT1,32152,1GKKVREDXCJ249970,"$25,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2010,BMW 335CI 335 CI,52588,WBAWL7C50AP476319,"$17,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,HONDA CIVIC LX,30649,19XFB2F58CE392546,"$10,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,HONDA CIVIC SI,41613,2HGFG4A50CH706541,"$14,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,HYUNDAI TUCSON FWD 4C LIMITED,24376,KM8JU3AC5CU530136,"$16,250 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,CHEVROLET COLORADO 4X2 RG WORK TRUCK,16644,1GCCSBF92C8160461,"$12,100 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,CHEVROLET COLORADO 4X2 RG LT W/1SA,25157,1GCCSBF94C8160834,"$11,100 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,25557,JN1CV6AP2DM724268,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 AWD,34538,5N1AL0MMXDC334349,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,28679,JN1CV6AP1DM719241,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 AWD,12368,5N1AL0MM6DC312882,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 IPL,39702,JN1CV6FE2DM230029,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,17570,JN1CV6AP3DM304387,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,29262,JN1CV6APXDM714572,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 FWD,49961,5N1AL0MN5DC314910,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 AWD,46524,5N1AL0MM7DC313040,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 FWD,45633,5N1AL0MN7DC327156,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,26345,JN1CV6AP3DM711576,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 FWD,47974,5N1AL0MN4DC332735,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,27937,JN1CV6AP7DM711144,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 AWD,26671,5N1AL0MM0DC326289,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,31066,JN1CV6AP8DM711069,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,21862,JN1CV6AP2DM711519,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 FWD,36341,5N1AL0MN3DC325078,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI JX35 FWD,42599,5N1AL0MN9DC308690,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,19808,JN1CV6AP5DM714754,,SOLD,2/24/2016 5:47:31 PM
,,,,,0,,,SOLD,2/24/2016 5:47:31 PM
,,,2013,INFINITI G37 4X2 JOURNEY,25557,JN1CV6AP2DM724268,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 AWD,34538,5N1AL0MMXDC334349,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,28679,JN1CV6AP1DM719241,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 AWD,12368,5N1AL0MM6DC312882,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 IPL,39702,JN1CV6FE2DM230029,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,17570,JN1CV6AP3DM304387,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,29262,JN1CV6APXDM714572,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 FWD,49961,5N1AL0MN5DC314910,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 AWD,46524,5N1AL0MM7DC313040,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 FWD,45633,5N1AL0MN7DC327156,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,26345,JN1CV6AP3DM711576,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 FWD,47974,5N1AL0MN4DC332735,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,27937,JN1CV6AP7DM711144,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 AWD,26671,5N1AL0MM0DC326289,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,31066,JN1CV6AP8DM711069,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,21862,JN1CV6AP2DM711519,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 FWD,36341,5N1AL0MN3DC325078,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI JX35 FWD,42599,5N1AL0MN9DC308690,,SOLD,2/24/2016 6:09:09 PM
,,,2013,INFINITI G37 4X2 JOURNEY,19808,JN1CV6AP5DM714754,,SOLD,2/24/2016 6:09:09 PM
,,,,,0,,,SOLD,2/24/2016 6:09:09 PM
CAPISTRANO VOLKSWAGEN,"32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603
,,,2013,FORD EXPLORER FWD V6 BASE,19741,1FMK7B80DGC83164,"$19,250 ",ONLINE,12/29/2015 7:58:09 PM
EVERGREEN AUTO SALES,"11771 Washington Blvd Whittier, CA 90606",(562) 698-4002
,,,2012,DODGE GRAND CARAVAN SXT,80963,2C4RDGCG2CR309940,"$7,500 ",SOLD,12/29/2015 7:58:09 PM
SOUTHERN FINANCIAL,NA,NA
,,,2014,CHEVROLET CAMARO V6 LT,39939,2G1FC1E32E9175964,"$16,000 ",IFSALE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,62574,1FTKR1AD0BPA84594,"$10,000 ",SOLD,12/29/2015 7:58:09 PM
SIERRA AUTO CENTER,"4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700
,,,2013,CHEVROLET EQUINOX FWD V6 LT,76465,2GNFLDE31D6184624,"$12,250 ",ONLINE,12/29/2015 7:58:09 PM
"PAUL BLANCO'S GOOD CAR COMPANY ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277
,,,2013,CHEVROLET MALIBU LS,30411,1G11A5SAXDF320748,"$11,000 ",SOLD,12/29/2015 7:58:09 PM
ANAHEIM PRE OWNED CARS,"2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274
,,,2012,CHEVROLET VOLT,66237,1G1RE6E44CU122292,"$10,000 ",ONLINE,12/29/2015 7:58:09 PM
MARTINEZ USED CARS INC,"314 Lander Ave Turlock, CA 95380",(209) 634-4496
,,,2015,GMC CANYON 4X2 EX,9565,1GTH5AE38F1145383,"$20,750 ",SOLD,12/29/2015 7:58:09 PM
D & C MOTORZ INC,"2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038
,,,2010,BMW 335CI 335 CI,52588,WBAWL7C50AP476319,"$16,750 ",ONLINE,12/29/2015 7:58:09 PM
WOO CONSOLIDATED LLC,NA,NA
,,,2009,INFINITI G37 4X2,76812,JNKCV61E49M311706,"$12,250 ",SOLD,12/29/2015 7:58:09 PM
PCH PRE OWNED CO,"1940 Pacific Coast Hwy, Lomita, CA 90717",888-350-4464
,,,2008,LAND ROVER RANGE ROVER SPORT S/C,93336,SALSH23498A167449,"$12,000 ",IFSALE,12/29/2015 7:58:09 PM
HILINE MOTORSPORTS LLC,"1162 Suncast Ln Ste 108 El Dorado Hills, CA 95762",(916) 404-3922
,,,2005,LEXUS SC 430,79736,JTHFN48YX50064761,"$7,500 ",IFSALE,12/29/2015 7:58:09 PM
NIKU ENTERPRISE,NA,NA
,,,2005,LEXUS SC 430,79736,JTHFN48YX50064761,"$7,250 ",ONLINE,12/29/2015 7:58:09 PM
ASH AUTO GROUP LLC,"7363 E Adobe Dr, Scottsdale, AZ 85255",877-468-7112
,,,2004,MERCEDES SL500R,63422,WDBSK7514F085747,"$12,000 ",ONLINE,12/29/2015 7:58:09 PM
PRIVATE COLLECTION MOTORS INC,"849 W 18th St Ste B Costa Mesa, CA 92627",(949) 791-2167
,,,2004,MERCEDES SL500R,63422,WDBSK7514F085747,"$12,000 ",IFSALE,12/29/2015 7:58:09 PM
,,,2012,MERCEDES S350BTC4 3.0L BLUE,69852,WDDNG8DB6CA448615,"$26,000 ",IFSALE,12/29/2015 7:58:09 PM
STATEWIDE,"12039 Branford St Sun Valley, CA 91352 Pacoima",(818) 897-1009
,,,2007,MERCEDES CLS550C,86627,WDDDJ72X07A103852,"$13,000 ",IFSALE,12/29/2015 7:58:09 PM
,,,2010,MERCEDES GLK350W4 GLK 350,91557,WDCGGBHB5AF267321,"$14,500 ",IFSALE,12/29/2015 7:58:09 PM
,,,2006,BMW X3 3.0L,101811,WBXPA934X6WD33090,"$5,500 ",IFSALE,12/29/2015 7:58:09 PM
COAST SPORTS CARS INC,"2680 Garnet Ave San Diego, CA 92109",1 858 270 1700
,,,2010,MERCEDES GLK350W4 GLK 350,91557,WDCGGBHB5AF267321,"$12,250 ",ONLINE,12/29/2015 7:58:09 PM
M & I IMPORTS INC,"2772 Skokie Valley Road Highland Park, IL 60035",(847) 266-9200
,,,2010,MERCEDES GLK350W4 GLK 350,91557,WDCGGBHB5AF267321,"$12,500 ",ONLINE,12/29/2015 7:58:09 PM
H/H MOTOR SPORTS INC,"858 OXNARD BLVD OXNARD, CA-93030","(805) 487-8080
"
,,,2012,VOLKSWAGEN PASSAT 5C SE,63582,1VWBP7A32CC078981,"$8,250 ",ONLINE,12/29/2015 7:58:09 PM
CLOVIS AUTO SALES.COM,"3685 N Clovis Ave Fresno, CA 93727",(559) 322-8866
,,,2012,VOLKSWAGEN PASSAT 5C SE,63582,1VWBP7A32CC078981,"$9,250 ",ONLINE,12/29/2015 7:58:09 PM
"CARDINALE NISSAN ","1661 Del Monte Blvd Seaside, CA 93955",(888) 996-1636
,,,2012,VOLKSWAGEN PASSAT 5C SE,63582,1VWBP7A32CC078981,"$9,000 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,CHEVROLET COLORADO 4X2 RG LT W/1SA,25157,1GCCSBF94C8160834,"$11,000 ",ONLINE,12/29/2015 7:58:09 PM
FINDLAY KIA,"5325 W Sahara Ave Las Vegas, NV 89146",(725) 696-8200
,,,2014,HONDA ACCORD 4C LX,22021,1HGCR2F32EA092277,"$14,250 ",ONLINE,12/29/2015 7:58:09 PM
TOYOTA OF CLOVIS/SCION OF CLOVIS,"895 West Shaw Avenue Clovis, CA 93612",(559) 291-5544
,,,2014,HONDA ACCORD 4C LX,22021,1HGCR2F32EA092277,"$15,750 ",ONLINE,12/29/2015 7:58:09 PM
CALISTA MOTORS LLC,"5021 San Vicente Blvd. Los Angeles, CA 90019",(323) 902-7034
,,,2014,HONDA ACCORD 4C LX,22021,1HGCR2F32EA092277,"$15,500 ",ONLINE,12/29/2015 7:58:09 PM
CAR STAR MOTORS,"12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333
,,,2013,HONDA ACCORD 4C EX,23688,1HGCR2F78DA016967,"$16,250 ",SOLD,12/29/2015 7:58:09 PM
THE CAR LEGACY,"4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600
,,,2012,FORD FUSION FWD 4C SEL,70040,3FAHP0JA7CR225306,"$6,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,NISSAN SENTRA S,21035,S3N1AB7AP2DL55441,"$8,750 ",IFSALE,12/29/2015 7:58:09 PM
SMART AUTO,"1455 Laurelwood Rd Santa Clara, CA 95054",(408) 829-7328
,,,2012,HONDA CIVIC LX,30649,19XFB2F58CE392546,"$10,000 ",ONLINE,12/29/2015 7:58:09 PM
ROADRUNNER AUTO SALES & RENTALS,"6726 Reseda Blvd, Reseda, CA 91335",(818) 996-9148
,,,2008,MITSUBISHI ECLIPSE 4C GS,62600,4A3AL25F48E006786,"$4,750 ",IFSALE,12/29/2015 7:58:09 PM
SOLEDAD AUTO SALES INC,"385 Front St Soledad, CA 93960",(831) 678-2002
,,,2014,NISSAN ALTIMA 4C S,32634,1N4AL3AP4EN337232,"$12,500 ",SOLD,12/29/2015 7:58:09 PM
CAMINO REAL CHEVROLET,"2401 S Atlantic Blvd Monterey Park, CA 91754",(323) 843-4078
,,,2013,NISSAN ALTIMA 4C SL,34195,1N4AL3AP4DN559249,"$14,500 ",SOLD,12/29/2015 7:58:09 PM
AUTO GALLERY,"2550 Wardlow Rd Corona, CA 92882",(951) 372-0008
,,,2013,NISSAN PATHFIND AWD SV,58098,5N1AR2MM0DC680758,"$17,000 ",IFSALE,12/29/2015 7:58:09 PM
SUPER AUTOS DEL VALLE SA DE CV,NA,NA
,,,2011,NISSAN VERSSA 1.6,95238,3N1CC1AP6BL419663,"$2,400 ",IFSALE,12/29/2015 7:58:09 PM
NORTH BAY AUTO INC,"2771 N Main St Walnut Creek, CA 94597",(925) 448-9309
,,,2013,TOYOTA AVALON XLE TRG,43518,4T1BD1EB0DU017825,"$19,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,INFINIT G37 4X2,67659,JN1CV6FE8DM771067,"$19,500 ",IFSALE,12/29/2015 7:58:09 PM
CARMAX #7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
,,,2013,TOYOTA AVALON XLE TRG,43518,4T1BD1EB0DU017825,"$20,000 ",SOLD,12/29/2015 7:58:09 PM
RAMOS AUTO EXPRESS S A,NA,NA
,,,2012,HONDA CIVIC LX,105392,19XFB2F57CE378878,"$6,250 ",ONLINE,12/29/2015 7:58:09 PM
AT ASSOCIATES,NA,NA
,,,2012,HONDA CIVIC LX,105392,19XFB2F57CE378878,"$6,750 ",ONLINE,12/29/2015 7:58:09 PM
"ESQUIVEL AUTO DEPOT INC ","800 West Foothill Blvd., Rialto, CA 92376-4736",(909) 877-2020
,,,2003,INFINITI G35,110929,JNKCV54E43M219654,"$5,000 ",SOLD,12/29/2015 7:58:09 PM
P&G AUTO,"280 S Palm Ave Rialto, CA 92376",(909) 873-2790
,,,2005,HYUNDAI TIBURAN V6 GT,112833,KMHHN65F25U179500,"$500 ",SOLD,12/29/2015 7:58:09 PM
SOSAS AUTO SALES,"625 South Euclid St # 14 Anaheim, CA 92802
",(714) 537-3053
,,,2010,FORD TAURUS FWD SE,123132,1FAHP2DW8AG150168,"$5,250 ",SOLD,12/29/2015 7:58:09 PM
CALIFORNIA AUTO MARKET,NA,NA
,,,2004,VOLVO XC90 AWD 6C,160006,YV1CM91H641050115,"$2,000 ",IFSALE,12/29/2015 7:58:09 PM
EDDIES AUTO SALES,"7905 Van Nuys Blvd. # V Los Angeles, CA 91402",(818) 201-8682
,,,2005,LINCOLN NAVIGATOR 4X2,181126,5LMFU27525LJ18481,"$2,900 ",IFSALE,12/29/2015 7:58:09 PM
PORTERVILLE FORD,"701 N Main St Porterville, CA 93257",(559) 784-6000
,,,2013,FORD F150 4X2 CR XLT,24172,1FTFW1CF7DFC43001,"$22,250 ",ONLINE,12/29/2015 7:58:09 PM
CENTRAL COAST CAR COMPANY LLC,"1575 W Grand Ave, Grover Beach, CA 93433",(805) 474-8354
,,,2006,CHEVROLET 1500 SLV 4X4 CR 3LT,107982,2GCEK13T461128587,"$11,000 ",IFSALE,12/29/2015 7:58:09 PM
DOWNTOWN AUTO PLAZA,"621 Van Ness Ave, Fresno, CA 93721",(559) 495-0255
,,,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,"$9,000 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,NISSAN VERSA S,78499,3N1BC1CP6CK283549,"$3,500 ",ONLINE,12/29/2015 7:58:09 PM
,,,2010,MINI COOPER,95385,WMWMF3C55ATZ65569,"$5,000 ",ONLINE,12/29/2015 7:58:09 PM
GOLDIES MOTORS,"2950-1 E Broadway Rd Phoenix, AZ 85040",(602) 454-6400
,,,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,"$9,400 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$9,500 ",ONLINE,12/29/2015 7:58:09 PM
CRYSTAL CHRYSLER JEEP,"36-444 Auto Park Dr Cathedral City, CA 92234",(760) 324-4557
,,,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,"$9,200 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$9,100 ",ONLINE,12/29/2015 7:58:09 PM
WILL TIESIERA FORD MERCURY,"2101 E Cross Ave Tulare, CA 93274",(559) 556-0906
,,,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,"$9,800 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$10,400 ",ONLINE,12/29/2015 7:58:09 PM
CHOICE MOTORS,1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595"
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$10,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,62574,1FTKR1AD0BPA84594,"$9,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,59828,1FTKR1AD8BPA88392,"$9,250 ",SOLD,12/29/2015 7:58:09 PM
STARFORD LINCOLN,"1100 S Brand Blvd Glendale, CA 91205",(800) 474-9313
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$9,700 ",ONLINE,12/29/2015 7:58:09 PM
CLAY COOLEY MITSUBISHI,not applicable,not applicable
