S.No.,Model,Car,VIN number,Odometer,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
27,2013,HONDA CIVIC,19XFB2F55DE234716,34322,,,,,JNB MOTOR INC,"$11,500 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006,,,,
28,2013,HONDA CIVIC EX,19XFB2F58DE223371,39228,,,,,,,,,CARMAX # 7129,"$11,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
29,2012,HONDA CIVIC,JHMFB2F56CS004144,54376,CHEVROLET OF GLENDORA,"$9,500 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,CAL AUTO OUTLET 4 CARS,"$11,000 ","2440 Elkhorn Blvd Rio Linda, CA 95673",(916) 238-6359,,,,
,,,,,LOTUS AUTO SALES,"$10,500 ","1555 W San Carlos St San Jose, CA 95126",(408) 993-8800,,,,,,,,
,,,,,FAST LANE AUTOS,"$9,250 ","4434 N Blackstone Ave Fresno, CA 93726",(559) 228-9087,,,,,,,,
30,2014,HYUNDAI ELANTRA LIMITED,KMHDH4AE0EU138967,10373,PREMIER AUTO CENTER,"$12,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,TEMECULA HYUNDAI,"$13,000 ","27430 Ynez Road
Temecula, CA 92591",(951) 225-1075,,,,
31,2011,HYUNDAI SONATA GLS,5NPEB4ACXBH152938,93383,D V AUTO CENTER,"$6,250 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,"CLASS AUTO SALES, INC","$6,750 ","2100 Fulton Avenue Suite A Sacramento, CA 95815",(916) 500-1454,,,,
,,,,,EMPIRE MOTORS,"$6,500 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,,,,,,,,
32,2013,KIA OPTIMA LX,5XXGM4A71DG099292,80554,DRIVETIME,"$8,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,DRIVETIME,"$8,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630
33,2014,MITSUBISHI MIRAGE ES,ML32A4HJ1EH006332,34519,BILL LUKE FIAT ,"$6,750 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,CHINO HILLS FORD,"$7,259 ","4480 Chino Hills Parkway Chino, CA 91710",(909) 247-1475,,,,
,,,,,CHEVROLET OF GLENDORA,"$7,000 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
34,2015,NISSAN ALTIMA 4C 2.5 S,1N4AL3AP0FC275034,11734,CHEVROLET OF GLENDORA,"$14,000 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,BALL HONDA,"$14,250 ","2135 National City Blvd National City, CA 91950",(888) 708-7251,,,,
,,,,,PREMIER AUTO CENTER,"$13,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,,,,
,,,,,BLOOMINGTON LINCOLN ME,"$13,500 ","1001 Clover Dr Bloomington, MN 55420",(952) 888-2271,,,,,,,,
35,2013,NISSAN MAXIMA 3.5 S,1N4AA5AP5DC835872,51794,,,,,,,,,,,,
36,2012,NISSAN VERSA S,3N1BC1CP1CK204126,52262,PREMIER AUTO CENTER,"$4,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,PREMIER AUTO CENTER,"$4,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,
37,2012,NISSAN VERSA S,3N1BC1CP2CK204135,57353,PREMIER AUTO CENTER,"$5,000 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,PREMIER AUTO CENTER,"$5,000 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500
38,2011,NISSAN VERSA 1.6,3N1CC1AP8BL412052,72773,,,,,,,,,MARIOS AUTO SALES INC,"$3,500 ","1010 S Harbor Blvd Santa Ana, CA 92704",(714) 531-9710
39,2013,NISSAN ALTIMA 4C S,1N4AL3AP2DC235728,62056,DRIVETIME ,"$9,750 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME ,"$9,750 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,JESSES USED CARS,"$8,500 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,,,,,
40,2010,NISSAN ALTIMA 4C 2.5,1N4AL2AP3AN465739,81186,D V AUTO CENTER,"$6,000 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,D V AUTO CENTER,"$6,000 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,
41,2015,SUBARU OUTBACK 4C LIMITED,4S4BSAJC7F3242904,20092,FINDLAY VOLKSWAGEN,"$25,250 ","983 Auto Show Dr Henderson, NV 89014",(702) 558-6600,ROCKY MOUNTAIN MOTORS,"$26,000 ","8304 S State St Midvale, UT 84047",(801) 566-9414,,,,
42,2014,TOYOTA CAMRY 4C SE,4T1BF1FK9EU365097,34290,,,,,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$13,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277
43,2014,TOYOTA CAMRY 4C LE,4T1BD1FK9EU132228,94741,,,,,VALPARAISO MOTORS INC,"$11,750 ","11203 Garvey Ave El Monte, CA 91733",(626) 401-9577,,,,
44,2012,TOYOTA RAV4 FWD V6,2T3ZK4DV2CW015419,82999,TOPLINE AUTOMOTIVE INC,"$12,750 ","840 East Garvey Ave Monterey Park, CA 91755",(626) 572-8888,TOPLINE AUTOMOTIVE INC,"$12,750 ","840 East Garvey Ave Monterey Park, CA 91755",(626) 572-8888,,,,
45,2015,NISSAN SENTRA SV,3N1AB7AP0FL630649,15481,,,,,,,,,STG AUTO GROUP,"$11,500 ","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595
46,2010,NISSAN MURANO AWD LE,JN8AZ1MW7AW125742,82098,,,,,TEAM KIA OF BEND,"$12,000 ","611 NE Purcell Blvd Bend, OR 97701",(541) 550-5555,,,,
47,2007,TOYOTA COROLLA S,1NXBR32E27Z816781,151565,PUEBLOS UNIDOS AUTO SALES,"$4,250 ","5414 Mission Blvd,Ontario, CA 91762",(909) 628-1054,AUTOMOTRIZ MICHOACAN,"$4,500 ","1341 N Mt Vernon Colton Ca Colton, CA 92324",(909) 206-1420,,,,
48,2011,CHEVROLET MALIBU 4C LT W/1LT,1G1ZC5E10BF183020,100065,DRIVETIME,"$6,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$6,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,AUTO WORLD SALES AND LEASING ,"$6,000 ","409 S Glendale Ave,Ste A,Glendale, CA 91205",(818) 246-1500,,,,,,,,
49,2012,HONDA CIVIC LX,19XFB2F57CE378878,105392,DRIVETIME,"$9,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,SAMS AUTO SALES,"$9,250 ","1254 N Abby St Fresno, CA 93703",(559) 233-6666,,,,
,,,,,SAMS AUTO SALES,"$9,250 ","1254 N Abby St Fresno, CA 93703",(559) 233-6666,,,,,,,,
50,2010,GMC YUKON 4X2 V8 DENALI,1GKUCEEF4AR189644,105691,,,,,AUTOMOTRIZ MICHOACAN,"$20,250 ","1341 N Mt Vernon Colton Ca Colton, CA 92324",(909) 206-1420,,,,
51,2013,HONDA ACCORD 4C SPORT,1HGCR2F50DA065062,106936,DE SANTIAGO AUTO SALES,"$12,000 ","1202 S 4th Ave Yuma, AZ 85364",(928) 783-7291,JESSES USED CARS,"$12,250 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,
,,,,,EMPIRE MOTORS,"$10,750 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,,,,,,,,
,,,,,JESSES USED CARS,"$12,250 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,,,,,
,,,,,MARTINEZ USED CARS INC,"$9,500 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,,,,,,,,
52,2004,CHRYSLER PACIFICA FWD,2C8GM68404R645772,138951,,,,,,,,,MARQUINAS ENTERPRISES,"$1,400 ",Not applicable,Not applicable
53,2004,VOLVO XC90 AWD 6C,YV1CM91H641050115,160006,,,,,,,,,,,,
54,2005,LINCOLN NAVIGATOR 4X2 LUXURY,5LMFU27525LJ18481,181125,,,,,,,,,,,,
55,2015,CHRYSLER 200 FWD 4C LIMITED,1C3CCCAB0FN578346,26376,PREMIER AUTO CENTER,"$11,500 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,PREMIER AUTO CENTER,"$11,500 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500
56,2012,CHEVROLET G3500 PASS 4X2 1LT,1GAZG1FG7C1147677,36376,JIMS AUTO SALES INC,"$28,500 ","825 Pacific Coast Hwy Harbor City, CA 90710",(310) 830-0033,,,,,JIMS AUTO SALES INC,"$28,500 ","825 Pacific Coast Hwy Harbor City, CA 90710",(310) 830-0033
57,2010,FORD TRANSIT CONNECT XLT,NM0LS7BN1AT038469,141271,MILLS MOTORS LLC,"$5,500 ","314 S Pearl St Centralia, WA 98531",360-807-4012,MILLS MOTORS LLC,"$5,500 ","314 S Pearl St Centralia, WA 98531",360-807-4012,,,,
58,2007,FORD F150 4X2 CR KING RANCH,1FTPW12557KC61036,109876,COST LESS AUTO INC,"$12,500 ","5485 Pacific St Rocklin, CA 95670",(916) 859-0007,,,,,COST LESS AUTO INC,"$12,500 ","5485 Pacific St Rocklin, CA 95670",(916) 859-0007
59,2014,CADILLAC CTS 4X2 4C,1G6AP5SX6E0135713,26363,BUD'S MOTOR COMPANY,"$20,000 ","7 County Road 434 Rector, AR 72461",(870) 595-9900,THE MOTOR CAR GROUP INC,"$20,250 ","765 E Sycamore St Anaheim, CA 92805",(714) 780-0056,,,,
60,2014,CHEVROLET EQUINOX FWD 4C LT,2GNALCEK4E6341687,44494,,,,,PAUL BLANCO'S GOOD CAR COMPANY INLAND EMPIRE,"$15,250 ","8205 Indiana St Riverside, CA 92504",(951) 373-5300,,,,
61,2013,FORD ESCAPE FWD 4C SE,1FMCU0GX9DUB02038,51287,,,,,THE MOTOR CAR GROUP INC,"$11,900 ","765 E Sycamore St Anaheim, CA 92805",(714) 780-0056,,,,
62,2014,CADILLAC SRX FWD SUV LUXURY,3GYFNBE33ES592868,32034,BUD'S MOTOR COMPANY,"$21,750 ","7 County Road 434 Rector, AR 72461",(870) 595-9900,BUD'S MOTOR COMPANY,"$21,750 ","7 County Road 434 Rector, AR 72461",(870) 595-9900,,,,
63,2012,CHEVROLET COLORAD 4X2 C/C WORK TRUCK,1GBGSBFE6C8158330,37440,,,,,CLASSIC CHARIOTS INC,"$11,700 ",1611 W Vista Way Vista CA 92083,(760) 414-1600,,,,
64,2011,FORD RANGER 4X2 4C XL,1FTKR1AD7BPA84592,56897,RIGUERO MOTORS,"$9,750 ","2730 Garnet AVE San Diego, CA 92109",(858) 270-7700,CARMAX # 7129,"$10,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
65,2011,CHEVROLET 3500 CUTAWAY WORK VAN,1GB0G2CA7B1141970,53003,STAR MOTORS,"$14,000 ","32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970,STAR MOTORS,"$14,000 ","32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970,,,,
66,2014,CADILLAC SRX FWD SUV LUXURY,3GYFNBE36ES540473,44633,,,,,KARPLUS WAREHOUSE INC,"$19,500 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
67,2015,CADILLAC CTS 4X2 4C,1G6AP5SX2F0111622,17808,BUD'S MOTOR COMPANY,"$23,500 ","7 County Road 434 Rector, AR 72461",(870) 595-9900,KARPLUS WAREHOUSE INC,"$23,750 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
,,,,,,,,,,,,,,,,
68,2011,FORD RANGER 4X2 4C XL,1FTKR1ADXBPB16824,56322,RIGUERO MOTORS,"$10,000 ","2730 Garnet AVE San Diego, CA 92109",(858) 270-7700,RIGUERO MOTORS,"$10,000 ","2730 Garnet AVE San Diego, CA 92109",(858) 270-7700,,,,
69,2012,NISSAN VERSA S,3N1BC1CP4CK810276,62928,,,,,SHARP CARS/LEASE,"$4,300 ","4455 Federal Blvd, San Diego, CA, 92102",(619) 262-7100,,,,
70,2009,CHEVROLET G2500 CARGO 4X2,1GCGG25C391151012,146829,BLVD MOTORCARS,"$7,900 ","7166 Foothill Blvd Los Angeles, CA 91042",(818) 951-0101,BLVD MOTORCARS,"$7,900 ","7166 Foothill Blvd Los Angeles, CA 91042",(818) 951-0101,,,,
,,,,,ABA AUTO SALES INC,"$7,200 ","12810 Sherman Way North Hollywood, CA 91605",323-470-2222,,,,,,,,
71,2012,CHEVROLET COLORADO 4X2 RG WORK TRUCK,1GCCSBF94C8148747,70364,DRIVETIME,"$6,750 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,PAUL BLANCOS GOOD CAR COMPANY,"$9,500 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
,,,,,CAPITAL FLEET,"$8,500 "," 801 Northport Dr West Sacramento, California 95691",1 916-372-9400,,,,,,,,
,,,,,GRAND PRAIRIE FORD LP,"$8,000 "," 701 East Palace Parkway Grand Prairie, TX 75050",1-866-345-7688,,,,,,,,
,,,,,SKY TOUCH IMPORTS INC,"$8,250 ","135 W Commonwealth Ave Fullerton, CA 92832",(714) 879-6900,,,,,,,,
72,2014,CADILLAC SRX FWD SUV LUXURY,3GYFNBE38ES536571,51415,,,,,,,,,,,,
73,2009,TOYOTA PRIUS TOURING,JTDKB20U897860279,106642,,,,,SELECTED AUTO  WHOLESALE,"$5,200 ",NA,NA,,,,
74,2012,FORD FUSION FWD 4C SE,3FAHP0HA2CR445569,86957,DRIVETIME,"$8,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$8,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,CLAY COOLEY MITSUBISHI,"$8,600 ",not applicable,not applicable,,,,,,,,
75,2014,CADILLAC SRX FWD SUV LUXURY,3GYFNBE39ES537213,43897,,,,,,,,,,,,
76,2012,CHEVROLET CRUZE LT W/1LT,1G1PF5SC2C7204711,92475,CAPITAL FLEET,"$6,900 "," 801 Northport Dr West Sacramento, California 95691",1 916-372-9400,ASAY'S AUTOS LLC,"$7,000 ",not applicable,not applicable,,,,
77,2011,CHEVROLET MALIBU 4C LS W/1FL,1G1ZA5E17BF354013,107199,A & A CARS,"$5,200 ","1760 Long Beach Blvd, Long Beach, CA 90813",844-327-5918,EMPIRE MOTORS,"$5,300 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,,,,
,,,,,EMPIRE MOTORS,"$5,300 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,,,,,,,,
78,2010,TOYOTA CAMRY,4T1BB3EKXAU111451,104407,,,,,,,,,,,,
79,2009,FORD F450 4X2 RG XL,1FDGF46R09EB22153,118620,ABA AUTO SALES,"$7,500 ","12810 Sherman Way North Hollywood, CA 91605",323-470-2222,,,,,ATLANTIS AUTO SALES INC,"$9,750 ","5104 W HIGHWAY 74 Monroe, NC 28110
",(704) 291-9990
80,2014,KIA RIO LX,KNADM4A3XE6398356,23316,CASH AUTO BUYERS,"$7,600 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191,CASH AUTO BUYERS,"$7,600 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191,,,,
81,2013,INFINITI G37 4X2,JN1CV6FE8DM771067,67659,,,,,,,,,PREMIER MOTOR/CARS,"$19,250 ","25241 Bernwood Dr Ste 1 Bonita Springs, FL 34135",(239) 221-3000
82,2013,FORD MUSTANG V6 CPE,1ZVBP8AM7D5229057,22303,DESERT DIRECT AUTO,"$13,900 ","6947 Speedway Blvd Unit 101 Las Vegas, NV 89115",(702) 912-3402,DESERT DIRECT AUTO,"$13,900 ","6947 Speedway Blvd Unit 101 Las Vegas, NV 89115",(702) 912-3402,,,,
,,,,,MAC CHURCHHILL AUTO MALL,"$13,700 ","3737 Airport Fwy Bedford, TX 76021",(888) 261-6247,,,,,,,,
,,,,,BILL LUKE FIAT,"$13,800 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,,,,,
83,2012,DODGE GRAND CARAVAN SE,2C4RDGBG9CR264908,87733,DRIVETIME,"$9,200 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$9,200 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
84,2012,SCION XD,JTKKU4B4XC1022745,39259,,,,,,,,,,,,
85,2011,CHEVROLET CRUZE LT W/1LT,1G1PF5S90B7163112,107187,CASH AUTO BUYERS,"$5,800 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191,,,,,D & A AUTO SALES,"$6,000 ","19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567
86,2011,KIA RIO LX,KNADH4A30B6734404,58400,,,,,,,,,AUTOMAX AUTO CENTER,"$5,500 ",,
87,2010,FORD FUSION FWD 4C SE,3FAHP0HA7AR368632,100359,BARSTAW AUTO SALES,"$4,300 ","1230 W Main St Barstow, CA 92311",(760) 256-1165,BARSTAW AUTO SALES,"$4,300 ","1230 W Main St Barstow, CA 92311",(760) 256-1165,,,,
88,2010,MAZDA MAZDA6,1YVHZ8CH3A5M13957,106274,,,,,,,,,PARS MOTOR INC,"$4,400 ","804 W Holt Ave Pomona, CA 91768",(909) 620-7377
89,2010,FORD FLEX FWD SEL,2FMGK5CC4ABA23496,114486,,,,,D & A AUTO SALES,"$9,600 ","19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567,,,,
90,2009,TOYOTA COROLLA LE,JTDBL40E699023391,136313,D V AUTO CENTER INC,"$5,800 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,,CASH AUTO BUYERS,"$5,900 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191
,,,,,MAGIC AUTO CAENTER OF R,"$5,500 ",,,,,,,,,,
,,,,,CASH AUTO BUYERS,"$5,900 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191,,,,,,,,
91,2008,TOYOTA CAMRY SOLARA V6 SLE,4T1FA38P48U157640,114955,,,,,,,,,,,,
92,2008,KIA OPTIMA 4C LX,KNAGE123485170290,131219,CASH AUTO BUYERS,"$2,800 ","605 N Bell Blvd Cedar Park, TX 78613",(512) 331-9191,,,,,D V AUTO CENTER INC,"$2,900 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595
,,,,,D V AUTO CENTER INC,"$2,900 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,,,,,
93,2008,DODGE GRAND CARAVAN SXT,1D8HN54P08B116499,113232,,,,,,,,,,,,
94,2006,CADILLAC CTS,1G6DP577560121938,100387,D V AUTO CENTER INC,"$2,500 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,,JNB MOTOR INC,"$2,600 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006
95,2006,FORD F250 4X2 EX,1FTSX20P76ED96839,153420,,,,,,,,,D & A AUTO SALES,"$6,700 ","19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567
96,2006,CHRYSLER 300 4X2 V8 C,2C3LA63H46H288516,107526,THE AUTO DISTRICT LLC,"$6,600 ","3772 Roosevelt St Suite B Riverside, CA 92503",(951) 977-9501,THE AUTO DISTRICT LLC,"$6,600 ","3772 Roosevelt St Suite B Riverside, CA 92503",(951) 977-9501,,,,
,,,,,LOTUS AUTO SALES,"$6,500 ","1555 W San Carlos St San Jose, CA 95126",(408) 993-8800,,,,,,,,
97,2005,CADILLAC CTS,1G6DP567050175406,123927,,,,,,,,,DESERT IMPORT/EXPORT AUTO SALES,"$3,400 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285
