S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
8,2011,CHEVROLET TRAVERSE FWD LT W/1LT,61320,1GNKRGED4BJ350982,PREMIER AUTO SALES & LEASING,"$13,900 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,PREMIER AUTO SALES & LEASING,"$13,900 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,,,,
9,2011,VOLKSWAGEN JETTA 5C SE CONVEN,66481,3VWDZ7AJ1BM317449,CROWN CITY MOTORS INC,"$7,400 ","2000 E Colorado Blvd Pasadena, CA 91107",(626) 248-7567,DRIVETIME,"$7,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,DRIVETIME,"$7,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
10,2011,KIA FORTE SX,69307,KNAFW4A36B5416775,AUTONET CONNECT,"$6,700 ",N/A,N/A,AUTONET CONNECT,"$6,700 ",N/A,N/A,,,,
,,,,,FIUZA MOTORS LLC,"$6,600 ","8200 S State St Midvale, UT 84047",(801) 878-9200,,,,,,,,
11,2011,NISSAN ALTIMA 4C 2.5 S,78257,1N4AL2AP8BN458660,,,,,GREEN LIGHT AUTO,"$7,200 ","1555 W 6th St Corona, CA 92882",(951) 454-5737,,,,
12,2013,HONDA ACCORD 4C LX,79310,1HGCR2E37DA125158,CARDINALE GMC TRUCK,"$10,500 ","2 Heitzinger Plaza Seaside, CA 93955",(877) 957-1626,PREMIER AUTO SALES & LEASING,"$10,900 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,,,,
,,,,,PREMIER AUTO SALES & LEASING,"$10,900 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,,,,,,,,
13,2010,HONDA ACCORD 4C EX-L,92604,1HGCS1B84AA014691,SMART AUTO ,"$9,400 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,BALLERS,"$10,300 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,
,,,,,BALLERS,"$10,300 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,,,,,
,,,,,DRIVETIME,"$10,200 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
14,2010,HONDA ACCORD V6 EX-L,104639,1HGCP3F86AA017681,DRIVETIME,"$10,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$10,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
15,2010,TOYOTA PRIUS,78042,JTDKN3DU9A0179391,DRIVETIME,"$9,100 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$9,100 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
16,2013,NISSAN ALTIMA 4C SV,22604,1N4AL3AP1DN519078,PREMIER AUTO CENTER,"$12,300 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,ROCK AUTO GROUP INC,"$12,600 ","464 W Main St El Cajon, CA 92020",(619) 401-1500,,,,
17,2007,CADILLAC SRX V8,84525,1GYEE63AX70166545,,,,,WESTSIDE MOTORS,"$7,500 ","813 Michigan Ave Santa Monica, CA 90401",(310) 395-3125,,,,
18,2011,FORD FUSION FWD 4C SEL,92251,3FAHP0JA1BR298847,AUTO RESOURCES INC,"$6,900 ","200 West Main Street Merced, CA 95340",209-383-4990,DRIVETIME,"$7,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,DRIVETIME,"$7,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
19,2013,NISSAN ALTIMA 4C S,34057,1N4AL3AP0DN479107,AUTONET CONNECT,"$9,600 ",N/A,N/A,AUTONET CONNECT,"$9,600 ",N/A,N/A,,,,
20,2013,HYUNDAI ACCENT GLS,42567,KMHCT4AEXDU559491,PREMIER AUTO CENTER,"$6,500 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,PREMIER AUTO CENTER,"$6,500 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,
21,2011,AUDI A4 FWD 2.0T PRM,51373,WAUAFAFLXBN011035,WORLDWIDE MOTORS ,"$11,900 ","9560 Black Mountain Rd Ste B San Diego, CA 92126
",(858) 999-3060,VIENNA MOTORS,"$12,000 ","461 W Valencia Dr, Fullerton, CA 92832",(310) 654-1767,,,,
22,2011,KIA FORTE EX,54778,KNAFU4A29B5376267,USA AUTOMARKET LLC,"$5,300 ","564 Industrial Dr Carmel, IN 46032
",1(317) 936-3019,CAR OR FINANCE AUTO,"$5,800 ",NA,NA,,,,
,,,,,AUTO RESOURCES INC,"$5,700 ","200 West Main Street Merced, CA 95340",209-383-4990,,,,,,,,
23,2012,HONDA ACCORD 4C LX,59897,1HGCP2F38CA212795,,,,,DIAMOND MOTOR CARS INC,"$9,000 ","9601 Artesia Blvd Bellflower, CA 90706",(562) 920-1777,,,,
24,2008,MAZDA TRIBUTE 2WD,96720,4F2CZ02Z58KM14258,,,,,FMI ENTERPRISES,"$3,700 ",,,,,,
25,2010,HONDA ACCORD 4C LX,97182,1HGCP2F38AA156693,BALLERS,"$8,900 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,FRONT LINE MOTOR CARS,"$9,000 ","13631 Harbor Blvd Ste B Garden Grove, CA 92843",(714) 616-1600,,,,
26,2006,FORD EXPLORER 4X2 V6 XLS,106814,1FMEU62EX6ZA07155,DRIVETIME,"$4,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$4,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,AZ LUXURY AUTO LLC,"$4,100 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,,,,,,,,
27,2007,DODGE NITRO 4X4 V6,110487,1D8GU586X7W732654,DRIVETIME,"$8,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
28,2010,NISSAN ALTIMA V6 3.5 SR,110726,1N4BL2AP2AN528656,,,,,MEDINA CARS LTD,"$6,500 ","407 South Atlantic Boulevard Los Angeles, CA 90022",(323( 264-9800,,,,
29,2009,NISSAN ALTIMA 4C 2.5 S,104955,1N4AL21E89N470297,HN ELITE MOTORS,"$3,500 ",NA,NA,DV AUTO CENTER INC,"$3,800 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,
30,2010,DODGE AVENGER 4C SXT,75736,1B3CC4FB4AN177936,,,,,TRADERS IMPORTS,"$4,300 ","7693 Liberty Avenue Huntington Beach, CA 92647",714-390-6020,,,,
31,2002,LEXUS ES 300,80649,JTHBF30G520018095,,,,,TIM DAHLE NISSAN OF SOUTHTOWNE,"$4,900 ","11155 S Jordan Gateway Blvd South Jordan, UT 84095",(801) 495-3800,,,,
32,2009,NISSAN ROGUE FWD S,86105,JN8AS58T29W051024,,,,,USTOYOTA,"$4,200 ","1321 N Harbor Blvd Ste A Santa Ana, CA 92703",(714) 554-2420,,,,
33,2010,NISSAN ARMADA 4X2 SE,92956,5N1AA0ND8AN617854,,,,,CASH OR FINANCE AUTO,"$11,400 ","16720 Lakewood Blvd Bellflower, CA 90706",(562) 202-9289,,,,
34,2010,FORD FUSION FWD 4C SE,113542,3FAHP0HA9AR265728,AUTO RESOURCES INC,"$3,100 ","200 West Main Street Merced, CA 95340",209-383-4990,AUTO RESOURCES INC,"$3,100 ","200 West Main Street Merced, CA 95340",209-383-4990,,,,
,,,,,AUTO MART USA,"$3,000 ","4199 Union Ave Bakersfield, CA 93305",(661) 864-7990,,,,,,,,
35,2008,DODGE AVENGER FWD V6 SXT,132734,1B3LC56R48N583535,,,,,A TO Z LIQUIDATORS INC,"$2,300 ","15214 Whittier Blvd Whittier, CA 90603",(562) 789-9104,,,,
36,2009,MITSUBISHI GALANT 4C,136797,4A3AB36F69E022657,,,,,JUAN RIVERA LANDEROS,"$1,900 ",n/a,n/a,,,,
37,2009,NISSAN SENTRA,139667,3N1AB61E49L639139,,,,,JMG AUTO ,"$2,300 ","5417 S Figueroa St Los Angeles, CA 90037",1 323-759-2862,,,,
38,2005,INFINITI FX35 4X2,126091,JNRAS08U15X100063,,,,,BEST BUY AUTO SALES,"$7,900 ","1921 N Broadway Santa Maria, CA 93454",(805) 348-1633,,,,
39,2007,TOYOTA AVALON TOURING,161617,4T1BK36B47U209141,,,,,,,,,AUTO RANCH,"$3,200 ","830 S Harbor Blvd Santa Ana, CA 92704",(714) 839-1900
40,2013,NISSAN LEAF SV,15926,1N4AZ0CP8DC416911,GLOBAL AUTO FINANCE,"$9,400 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,UPPER LEVEL MANAGEMENT INC,"$9,500 ","14408 Oxnard St Van Nuys, CA 91401",(818) 988-0990,,,,
41,2013,NISSAN LEAF SV,16002,1N4AZ0CP1DC419777,GLOBAL AUTO FINANCE,"$9,900 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,NIKU ENTERPRISE,"$10,600 ",NA,NA,,,,
,,,,,PARAMOUNT MOTORS NW,"$10,300 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,,,,,
,,,,,PLATT AUTO GROUP INC,"$10,500 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,,,,,,,,
42,2013,NISSAN LEAF S,5162,1N4AZ0CP5DC419068,GLOBAL AUTO FINANCE,"$8,600 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,GLOBAL AUTO FINANCE,"$8,600 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,,,,
43,2013,NISSAN LEAF S,13027,1N4AZ0CP9DC419915,,,,,TIM DAHLE NISSAN OF SOUTHTOWNE,"$7,600 ","11155 S Jordan Gateway Blvd South Jordan, UT 84095",(801) 495-3800,,,,
44,2013,NISSAN LEAF SV,15966,1N4AZ0CP1DC420010,AUTO MARKET AZ LLC,"$8,300 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,AUTO MARKET AZ LLC,"$8,300 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,,,,
45,2013,NISSAN LEAF S,26717,1N4AZ0CP8DC420392,ANAHEIM PRE OWNED CARS,"$7,100 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,605 AUTO INC,"$7,400 ","10425 Alondra Blvd Bellflower, CA 90706",(562) 461-7400,,,,
46,2013,NISSAN LEAF S,18475,1N4AZ0CP8DC426158,PARAMOUNT MOTORS NW,"$8,400 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,CRUISE AUTOS ,"$8,800 ","501 Railroad St, Corona, CA 92882",888-452-3745,,,,
,,,,,MPG HYBRIDS & IMPORTS LLC,"$8,700 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,,,,,,,,
47,2013,NISSAN LEAF S,27182,1N4AZ0CP0DC423397,,,,,AUTO WHOLESALE COMPANY,"$7,200 ","10231 Garden Grove Blvd Garden Grove, CA 92843",(714) 636-5800,,,,
48,2013,NISSAN LEAF S,29635,1N4AZ0CP3DC420039,AUTO MARKET AZ LLC,"$6,800 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,AUTO MARKET AZ LLC,"$6,800 ","507 N Scottsdale Rd Scottsdale, AZ 85257",(480) 300-5500,,,,
49,2013,NISSAN LEAF S,29761,1N4AZ0CP0DC421519,PARAMOUNT MOTORS NW,"$8,600 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,PARAMOUNT MOTORS NW,"$8,600 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
50,2014,NISSAN LEAF SL,9511,1N4AZ0CP2EC338174,PARAMOUNT MOTORS NW,"$13,000 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,UNKNOWN,"$14,100 ",NA,NA,,,,
,,,,,MARK MITSUBISHI,"$13,500 ","5200 San Mateo NE Albuquerque, NM 87109",(505) 338-8100,,,,,,,,
,,,,,ANAHEIM PRE OWNED CARS,"$13,900 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,,,,,
,,,,,PLATT AUTO GROUP INC,"$14,000 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,,,,,,,,
51,2013,NISSAN LEAF S,23994,1N4AZ0CP9DC425939,GLOBAL AUTO FINANCE,"$8,900 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,PARAMOUNT MOTORS NW,"$9,000 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
,,,,,PARAMOUNT MOTORS NW,"$9,000 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,,,,,
52,2013,NISSAN LEAF S,9515,1N4AZ0CP5DC421869,MPG HYBRIDS & IMPORTS LLC,"$9,500 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,DRIVELINE FINANCIAL SERVICES,"$9,600 ","712 Vale View Drive, Vista, CA 92081",1 760-519-0399,,,,
53,2013,NISSAN LEAF S,23978,1N4AZ0CP5DC422181,GLOBAL AUTO FINANCE,"$7,600 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,GLOBAL AUTO FINANCE,"$7,600 ","4565 W Nevso Dr Las Vegas, NV 89103",(702) 848-9799,,,,
54,2013,NISSAN LEAF SV,25649,1N4AZ0CPXDC420720,PARAMOUNT MOTORS NW,"$8,000 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,PARAMOUNT MOTORS NW,"$8,000 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
,,,,,MARK MITSUBISHI,"$7,900 ","5200 San Mateo NE Albuquerque, NM 87109",(505) 338-8100,,,,,,,,
55,2013,NISSAN LEAF S,15242,1N4AZ0CP8DC421106,MPG HYBRIDS & IMPORTS LLC,"$8,800 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,MPG HYBRIDS & IMPORTS LLC,"$8,800 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,,,,
56,2013,NISSAN LEAF S,20668,1N4AZ0CP8DC421865,ANAHEIM PRE OWNED CARS,"$7,400 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,ANAHEIM PRE OWNED CARS,"$7,400 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,
,,,,,MARK MITSUBISHI,"$7,300 ","5200 San Mateo NE Albuquerque, NM 87109",(505) 338-8100,,,,,,,,
,,,,,PLATT AUTO GROUP INC,"$6,800 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,,,,,,,,
,,,,,AUTOSITE ARIZONA LLC,"$6,900 ","2816 E Bell Rd Phoenix, AZ 85032",602-971-1568,,,,,,,,
57,2013,NISSAN LEAF SV,23577,1N4AZ0CP7DC420948,PLATT AUTO GROUP INC,"$7,500 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,GAVINO AUTO SALES,"$7,600 ","923 W Florence Ave Los Angeles, CA 90044",(323) 753-0383,,,,
,,,,,LAS VEGAS MOTORCARS,"$7,700 ","4200 W Russell Rd Ste 109 Las Vegas, NV 89118",(702) 463-9700,,,,,,,,
58,2013,NISSAN LEAF S,21967,1N4AZ0CPXDC415288,CRUISE AUTOS,"$7,900 ","501 Railroad St, Corona, CA 92882",888-452-3745,,,,,,,,
59,2013,NISSAN LEAF S,9625,1N4AZ0CP1DC420699,MARK MITSUBISHI,"$8,900 ","5200 San Mateo NE Albuquerque, NM 87109",(505) 338-8100,IMPERIO NISSAN OF SAN JUAN CAPISTRANO,"$8,800 ","33633 Camino Capistrano San Juan Capistrano, CA 92675",(949) 248-9200,,,,
,,,,,LAS VEGAS MOTORCARS,"$8,200 ","4200 W Russell Rd Ste 109 Las Vegas, NV 89118",(702) 463-9700,,,,,,,,
60,2013,NISSAN LEAF S,16296,1N4AZ0CP7DC422277,,,,,SANTA MONICA EUROPEANS,"$7,900 ","1630 Santa Monica Blvd Santa Monica, CA 90404",(310) 829-2500,,,,
61,2013,NISSAN LEAF S,29985,1N4AZ0CP1DC423134,PARAMOUNT MOTORS NW,"$8,400 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,PARAMOUNT MOTORS NW,"$8,400 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
62,2013,NISSAN LEAF SL,14501,1N4AZ0CP2DC421537,PARAMOUNT MOTORS NW,"$13,500 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,ANAHEIM PRE OWNED CARS,"$13,600 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,
,,,,,PLATT AUTO GROUP INC,"$13,400 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,,,,,,,,
,,,,,ANAHEIM PRE OWNED CARS,"$13,600 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,,,,,
63,2013,NISSAN LEAF S,16807,1N4AZ0CP4DC419353,PARAMOUNT MOTORS NW,"$8,600 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,PARAMOUNT MOTORS NW,"$8,600 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
,,,,,ANAHEIM PRE OWNED CARS,"$8,500 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,,,,,
64,2013,NISSAN LEAF S,16644,1N4AZ0CP8DC420604,MPG HYBRIDS & IMPORTS LLC,"$8,700 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,MPG HYBRIDS & IMPORTS LLC,"$8,700 ","814 N Scottsdale Rd Tempe, AZ 85281",(480) 621-8155,,,,
65,2013,NISSAN LEAF S,19058,1N4AZ0CP4DC417408,,,,,CRUISE AUTOS,"$8,200 ","501 Railroad St, Corona, CA 92882",888-452-3745,,,,
66,2013,NISSAN LEAF SV,16972,1N4AZ0CP3DC421398,AUTO STUDIO NIEDER-OLM,"$9,700 ",NA,NA,PARAMOUNT MOTORS NW,"$10,800 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,
,,,,,PARAMOUNT MOTORS NW,"$10,800 ","2908 6th Ave S Seattle, WA 98134 b/t Forest St & Hanford St Industrial District",(206) 383-3800,,,,,,,,
,,,,,PLATT AUTO GROUP INC,"$10,700 ","18720 SE McLoughlin Blvd Milwaukie, OR 97267",(503) 453-0121,,,,,,,,
67,2013,NISSAN LEAF S,20042,1N4AZ0CP1DC419519,,,,,1001 CRUUISE AUTOS,"$8,200 ",NA,NA,,,,
68,2013,NISSAN LEAF S,25707,1N4AZ0CP1DC419746,ANAHEIM PRE OWNED CARS,"$8,200 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,1001 CRUUISE AUTOS,"$8,300 ",NA,NA,,,,
69,2009,BMW M5,128489,WBSNB93579C043055,,,,,SEABOARD MOTORS,"$11,750 ","742 W Channel St San Pedro, CA 90731",(310) 748-2222,,,,
70,2012,NISSAN SENTRA SE-R,83459,3N1BB6AP1CL666201,,,,,GUARD AUTO SALES,"$7,600 ","1013 N Harbor Blvd, Santa Ana, CA 92703",(714) 265-1881,,,,
71,2013,DODGE CHARGER 4X2 V8 R/T,83264,2C3CDXCT6DH526445,REV IT MOTORS,"$11,700 ","11937 Woodside Ave Ste B Lakeside, CA 92040",(619) 493-3800,,,,,,,,
72,2010,LANDROVER RRS HSE LUX HSE LUX,76022,SALSK2D47AA223782,DALLAS PREOWNED,"$21,750 ","3404 Wiley Post Rd Carrollton, TX 75006",(972) 914-8232,TIM DAHLE NISSAN OF SOUTHTOWNE,"$22,500 ","11155 S Jordan Gateway Blvd South Jordan, UT 84095",(801) 495-3800,,,,
73,2012,CHEVROLET IMPALA LS,54268,2G1WF5E30C1212293,DRIVETIME,"$8,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,CARMAX # 7195,"$9,200 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
,,,,,CLAY COOLEY MITSUBISHI,"$8,600 ","1480 W Interstate 20, Arlington, TX 76017",(817) 375-2626,,,,,,,,
74,2013,NISSAN ALTIMA 4C,37472,1N4AL3AP7DN535656,DV AUTO CENTER INC,"$8,600 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,DV AUTO CENTER INC,"$8,600 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,,,,
75,2011,HYUNDAI SONATA LIMITED,80928,5NPEC4AC2BH129263,DRIVETIME,"$9,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$9,400 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
76,2010,NISSAN ALTIMA 4C 2.5 S,97751,1N4AL2AP1AN497198,,,,,CAPU AUTO CORPORATION,"$6,900 ","2211 Firestone Blvd Los Angeles, CA 90002",Not mentioned,,,,
77,2011,HYUNDAI ELANTRA GLS,70537,5NPDH4AE1BH056126,,,,,MAGIC AUTO CENTER OF ARLETA,"$6,500 ","13755 Roscoe Blvd., Panorama City, CA 91402
",818-892-3900,,,,
78,2014,BUICK VERANO,26511,1G4PP5SK5E4208876,BILL LUKE FIAT,"$11,600 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,CARMAX # 7195,"$12,000 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
,,,,,PREMIER AUTO CENTER,"$11,900 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,,,,
79,2011,MAZDA MAZDA6 I SPORT,86185,1YVHZ8BH1B5M20098,DRIVETIME,"$7,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$7,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,AUTO RESOURCES INC,"$6,600 ","200 West Main Street Merced, CA 95340",209-383-4990,,,,,,,,
80,2014,FORD FOCUS SE,29459,1FADP3F20EL372909,,,,,,,,,BLUE DIAMOND AUTO SALE,"$9,800 ","2130 Mitchell Rd Ceres, CA 95307",(209) 538-2886
81,2010,FORD F150 4X2 EX XLT,103069,1FTEX1C85AFA63554,,,,,MNM AUTO,"$10,200 ","18356 Valley Blvd Bloomington, CA 92316",(909) 874-2886,,,,
82,2008,DODGE MAGNUM 4X2 V6,124702,2D4FV47T28H111887,AZ LUXURY AUTO LLC,"$3,000 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,AZ LUXURY AUTO LLC,"$3,000 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,,,,
83,2013,CHRYSLER 200 4C LX,55727,1C3CCBAB3DN735343,CLAY COOLEY MITSUBISHI,"$7,400 ","1480 W Interstate 20, Arlington, TX 76017",(817) 375-2626,CLAY COOLEY MITSUBISHI,"$7,400 ","1480 W Interstate 20, Arlington, TX 76017",(817) 375-2626,,,,
84,2007,CHEVROLET TAHOE 4X2 V8 LTZ,91204,1GNFC13057J388406,,,,,SUNSHINE ENTERPRISES INC,"$16,800 ","2485 Shoreline Dr Ste 101 Alameda, CA 94501",(510) 749-1061,,,,
85,2013,NISSAN NVP 3500 V8 SL,90274,5BZAF0AA4DN200964,AUTOMAXX,"$22,000 ","9029 Campo Rd Spring Valley, CA 91977",(619) 729-8109,,,,,PACIFIC AUTO CENTER,"$24,250 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100
86,2013,RAM 1500 4X4 V8 BIG HORN,75456,1C6RR7GT8DS541708,,,,,SUNSHINE ENTERPRISES INC,"$16,500 ","2485 Shoreline Dr Ste 101 Alameda, CA 94501",(510) 749-1061,,,,
