Dealership,Address,Phone,Year,Make Model,Vehicle Odometer,Vehicle VIN,Amount,Bid Type,Auction Date
GRAND AUTOLAND,"515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899
SNYDER MOTORS INC,"5248 Jackrabbit Ln Belgrade, MT 59714",(406) 388-2771
RENO TAHOE AUTO GROUP,"3355 Kietzke Ln. Reno, NV 89502",(775) 329-0303
MID CITY MOTORS,,
TEAM KIA OF BEND,"611 NE Purcell Blvd Bend, OR 97701",(541) 550-5555
TDI MOTORS,"13427 NE 20th St Ste 175 Bellevue, WA 98005",(425) 820-4549
INTEGRITY MOTORS GROUP,5 Octavia St San Rafael CA 94901,na
BASSET MOTOR  SALES,"13165 Valley Blvd La Puente, CA 91746 ",626-968-2809
"CLAY COOLEY MITSUBISHI ",not applicable,not applicable
PEAK CARS INC,"34 Quinns Rd Bozeman, MT 59718",(406) 570-7379
DESERT AUTO DEALER,"74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300
CAR EMPORIUM OF SPOKANE,"936 E Sprague Ave Spokane, WA 99202",(509) 535-8380
MY RIDE MOTORS LLC,"3058 Clairemont Dr Ste 6 San Diego, CA 92117",(858) 442-5418
BAYSIDE MOTORS,"1485 Morena Blvd San Diego, CA 92110",(619) 684-1559
NATIONWIDE AUTO WAREHOUSE INC,"4541 W Chestnut Expy, Springfield, MO 65802",888-382-4730
ED DENAS AUTO CENTER,"1500 W. El Monte Way,Dinuba, CA 93618",(559) 697-3937
PREMIUM FINANCE,"2490 Harbor Blvd Costa Mesa, CA 92626",(714) 545-2081
AUTO DESERT,"74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300
JNB MOTOR INC,"1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006
AUTO MERCHANTS INC,NA,NA
TEULITOS ENTERPRISES INC,"1655 E 6th St Corona, CA 92879",Not applicable
CAL AUTO OUTLET 4 CARS,"2440 Elkhorn Blvd Rio Linda, CA 95673",(916) 238-6359
ACURA OF RIVERSIDE,"8101 Auto Dr Riverside, CA 92504",(951) 688-1500
AUTOMOTRIZ MICHOACAN,"1341 N Mt Vernon Colton Ca Colton, CA 92324",(909) 206-1420
PUEBLOS UNIDOD AUTO SALES,"5414 Mission Blvd Ontario, CA 91762",(909) 628-1054
MARTINEZ USED CARS INC,"314 Lander Ave Turlock, CA 95380",(209) 634-4496
A AND M AWESOME MOTORS,"1051 N Citrus Ave Ste F Covina, California 91722-2700",(909) 248-4111
RIGUERO MOTORS INC,"2730 Garnet AVE San Diego, CA 92109",(858) 270-7700
IAUTOHAUS,"1876 E Broadway Rd Tempe, AZ 85282",(480) 317-0777
J J WHOLESALE,"5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254
BEST AUTO RECOVERY AND SALES,"6704 NE 175th St, Kenmore, WA 98028",(425) 482-6707
RAYA WHOLESALE CARS,NA,NA
VOLVO CARS MISSION VIEJO,"28730 Marguerite Pkwy Mission Viejo, CA 92692",(949) 359-5000
PUR MOTORS,"2805 Burton Ave Burbank, CA 91504",(818) 847-1111
OFF LEASE ONLY INC,N/A,N/A
DIAMOND AUTO SALES INC,"1801 Park St Alameda, CA 94501",(510) 864-1000
PRESTIGE AUTOS,"2683 Wardlow Rd Corona, CA 92882",(951) 403-6500
PUENTE HILLS SUBARU,"17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814
ROYAL AUTO WHOLESALE INC,"230 Amberwood Drive Walnut, CA 91789 ",(909) 598-6282
PREMIER AUTO GROUP LLC,"11601 Whittier Boulevard Whittier, CA 90601",562-695-1234
BILL LUKE FIAT,"7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031
B & S AUTO SALES INC,"2500 W Orangethorpe Ave, Fullerton, CA 92833",(714) 525-5033
CAR STAR MOTORS,"12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333
NORM REEVES HONDA SUPE,"19131 Beach Boulevard Huntington Beach, CA 92648",(888) 405-0115
GREEN LIGHT AUTO,"1555 W 6th St Corona, CA 92882",(951) 454-5737
BELLS AUTO SALES,"808 E. 6 Th Street, Corona, CA 92879","(951) 734-2340
"
RIVERSIDE PREMIER MOTORS,"247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552
HEMBORG FORD,"1900 Hamner Ave Norco, CA 92860",(951) 737-6151
ATLAS AUTOMOTIVE,"4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257
PROGRESSIVE AUTO SALES,"4255 El Camino Real Atascadero, CA 93422",(805) 464-2566
YAMA MOTORS,"13225 Sherman Way North Hollywood, CA. 91605-7704",(818)982-0059
MARIOS AUTO SALES INC,"1010 S Harbor Blvd Santa Ana, CA 92704",(714) 531-9710
LEGACY CARS,"670 El Cajon Blvd El Cajon, CA 92020",(619) 442-0916
LYNX CAR SALES LLC,NA,NA
RIVERSIDE CAR STORE INC,"7925 Indiana Ave Riverside, CA 92504",(951) 358-0111
SELECTIVE MOTORS SALES & LEASING,"7905 Van Nuys Blvd Ste Q Van Nuys, CA 91402",(818) 697-2946
USA MOTORS AND USED,"1974, Placentia Ave Costa Mesa, CA 92627",949-650-7013
CERTFIED LUXURY AUTO INC,"1005 N Scottsdale Rd Scottsdale, AZ 85257",(480) 827-7679
BEST CAR BUY,"1615 S Brand Blvd Glendale, CA 91204",(818) 240-3330
CIRCLE CITY MOTORS,"327 W Orangethorpe Ave, Fullerton, CA 92832",(714) 400-3600
MAGIC AUTO CENTER OF R,"6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999
L A AUTO EMPORIUM INC,"8917 State St South Gate, CA 90280",(323) 249-5161
ROCK
